word,a_to_h_letter_count,frequency_score,a_to_h_sequence,match_status,puzzle_id,fen,moves,rating,rating_deviation,popularity,nb_plays,themes,lichess_url,opening_tags,daily_date
"ethos","2","921","eh","exact","EEcti","r5k1/pp6/6Q1/3p4/3P2nq/2P5/P4bK1/R3R3 b - - 3 24","g8h8 e1h1 g4h2 h1h2","1602","75","100","1114","crushing middlegame pin short","https://lichess.org/DY3gsirP/black#48","",""
"bride","3","920","bde","exact","50Nnq","8/8/pn6/4Q3/3P2p1/2PK3k/Pr6/8 w - - 8 43","d4d5 b2d2 d3e4 d2e2 e4f5 e2e5","1600","75","100","517","crushing endgame long skewer","https://lichess.org/Td88Vd6d#85","",""
"decor","3","918","dec","exact","qkEAg","2qr2k1/3n1p1p/3Qp1p1/2p1N3/1p2P3/8/4rPPP/1R1R2K1 w - - 0 24","e5d7 d8d7 d6d7 e2e1 d1e1 c8d7","1596","76","100","612","advantage deflection long middlegame sacrifice","https://lichess.org/E4O8LSwt#47","",""
"hobby","3","917","hbb","exact","pWXGU","6k1/5p2/2p1pPp1/1p1pP1B1/p2P3P/P1P2n2/1PK5/8 b - - 2 51","f3g5 h4g5 g8f8 b2b3 f8e8 b3a4","1592","74","100","356","crushing endgame long","https://lichess.org/IvZ76lqy/black#102","",""
"beast","3","916","bea","exact","wPZAW","8/p4k2/1r1B2p1/5p2/8/4K3/8/4R3 w - - 1 43","d6c5 b6e6 e3f2 e6e1 f2e1 a7a5","1679","75","100","778","crushing defensiveMove endgame long","https://lichess.org/fOGN5jFU#85","",""
"these","3","913","hee","exact","3XveJ","1k3r2/ppqn4/2pb3Q/3p4/6B1/3P2PP/PPP3K1/4R3 b - - 5 30","d6g3 h6f8 d7f8 e1e8 c7d8 e8d8","1620","74","100","548","crushing fork long middlegame sacrifice","https://lichess.org/11iuvXW3/black#60","",""
"alarm","2","911","aa","exact","ZlAJo","8/6pk/2R1p1rp/8/qP1PQ3/7P/5KP1/8 w - - 2 35","c6e6 a4a2 e4e2 a2e6","1589","76","100","828","advantage endgame short","https://lichess.org/YkPqkkuF#69","",""
"erase","3","910","eae","exact","dgkP2","6k1/P3R1p1/5p1p/4p3/3p4/3K2P1/6r1/8 b - - 0 31","g2a2 e7e8 g8f7 a7a8q a2a8 e8a8","1500","129","100","11","endgame","https://lichess.org/OTEHqrHU/black#62","",""
"elegy","3","909","eeg","exact","QaI5c","5r1k/2p3pp/1pb1r3/p4p1Q/P1PBq3/2P4P/5PPN/R4BK1 w - - 1 25","h5g5 e6g6 f2f3 e4d4 c3d4 g6g5","1604","76","100","220","advantage long middlegame","https://lichess.org/inp85bCL#49","",""
"scaly","2","907","ca","exact","EpYd7","4r1k1/8/4p1PQ/3p1p2/5P2/pPr2q2/P1P5/2K4R b - - 2 41","f3e3 c1b1 c3b3 a2b3","1584","75","100","177","advantage endgame short","https://lichess.org/3Xnhv8EN/black#82","",""
"scold","2","906","cd","exact","zxZNk","6k1/p2Q1p2/1pN2bnp/6p1/q3P3/6P1/3R2KP/8 b - - 5 33","a7a5 c6e7 f6e7 d7a4","1600","75","100","1567","crushing discoveredAttack endgame short","https://lichess.org/SkJH1zqS/black#66","",""
